latitude,longitude,altitude(m)
16.0495734,108.158452,12
16.049556,108.1584915,12
16.0495386,108.1585311,12
16.04950767,108.1585928,12
16.04948447,108.1586317,12
16.04946127,108.1586706,12
16.04943678,108.1587041,12
16.0494123,108.1587376,12
16.0493833,108.1587725,12
16.0493543,108.1588074,12
16.04931048,108.158865,12
16.04927504,108.1589281,12
16.04925055,108.1589951,12
16.04923702,108.15904,12
16.04922348,108.159085,12
16.04919771,108.1591346,12
16.04918353,108.1591755,12
16.04916935,108.1592164,12
16.04916162,108.1592781,12
16.04916226,108.1593163,12
16.04916291,108.1593545,12
16.04916871,108.1593988,12
16.04917451,108.1594431,12
16.04918611,108.1595141,12
16.04919384,108.1595591,12
16.04920157,108.159604,12
16.04921446,108.1596389,12
16.04922864,108.1597046,12
16.04924282,108.1597649,12
16.04925828,108.1598239,12
16.04927761,108.1598843,12
16.04929952,108.1599352,12
16.04931628,108.1599889,12
16.04932917,108.1600506,12
16.04934463,108.1601109,12
16.0493601,108.1601646,12
16.0493717,108.1602383,12
16.04937428,108.160304,12
16.04937041,108.1603389,12
16.04936654,108.1603738,12
